date,open,close,high,low,volume,money
2005-01-04,1.47,1.46,1.47,1.45,7867519.0,11465603.0
2005-01-05,1.46,1.45,1.47,1.42,14396761.0,20718559.0
2005-01-06,1.45,1.46,1.47,1.44,11913717.0,17333840.0
2005-01-07,1.47,1.46,1.48,1.45,8427452.0,12302853.0
2005-01-10,1.46,1.47,1.47,1.43,11760203.0,17111498.0
2005-01-11,1.47,1.47,1.47,1.47,0.0,0.0
2005-01-12,1.48,1.46,1.48,1.45,7321686.0,10672635.0
2005-01-13,1.46,1.47,1.48,1.45,7152368.0,10504590.0
2005-01-14,1.47,1.45,1.48,1.45,7170223.0,10476658.0
2005-01-17,1.45,1.4,1.45,1.39,14170065.0,20039971.0
2005-01-18,1.4,1.39,1.41,1.38,11580278.0,16109620.0
2005-01-19,1.39,1.38,1.4,1.38,7530456.0,10416563.0
2005-01-20,1.38,1.35,1.38,1.34,17644127.0,23815009.0
2005-01-21,1.34,1.43,1.45,1.31,44849867.0,62408193.0
2005-01-24,1.48,1.45,1.49,1.43,28856441.0,41761044.0
2005-01-25,1.44,1.41,1.45,1.4,15639058.0,22142394.0
2005-01-26,1.41,1.41,1.45,1.4,11337975.0,16124242.0
2005-01-27,1.41,1.37,1.41,1.37,11281941.0,15671762.0
2005-01-28,1.37,1.38,1.38,1.35,10416310.0,14212959.0
2005-01-31,1.38,1.36,1.38,1.35,8300850.0,11288374.0
2005-02-01,1.36,1.36,1.39,1.36,9502622.0,13006364.0
2005-02-02,1.37,1.43,1.43,1.36,25453055.0,35957947.0
2005-02-03,1.43,1.41,1.44,1.41,18501290.0,26337392.0
2005-02-04,1.41,1.48,1.51,1.4,39846112.0,58460211.0
2005-02-16,1.48,1.47,1.5,1.46,18907522.0,27970435.0
2005-02-17,1.48,1.47,1.49,1.46,13529272.0,19839010.0
2005-02-18,1.47,1.48,1.5,1.47,17714240.0,26213869.0
2005-02-21,1.48,1.5,1.52,1.48,28867571.0,43335847.0
2005-02-22,1.5,1.51,1.51,1.48,35041151.0,52460968.0
2005-02-23,1.51,1.49,1.52,1.48,22875963.0,34215337.0
2005-02-24,1.5,1.48,1.5,1.47,22283305.0,32969255.0
2005-02-25,1.48,1.49,1.51,1.48,25279877.0,37865716.0
2005-02-28,1.49,1.45,1.49,1.44,23049775.0,33546810.0
2005-03-01,1.45,1.43,1.45,1.43,15029221.0,21592546.0
2005-03-02,1.43,1.43,1.45,1.42,13760973.0,19739123.0
2005-03-03,1.43,1.44,1.44,1.42,7953055.0,11399016.0
2005-03-04,1.44,1.42,1.44,1.42,9723049.0,13861124.0
2005-03-07,1.42,1.4,1.43,1.39,14179045.0,19970363.0
2005-03-08,1.43,1.42,1.43,1.4,20382972.0,28709799.0
2005-03-09,1.42,1.41,1.43,1.4,19463435.0,27405674.0
2005-03-10,1.41,1.38,1.41,1.37,18384307.0,25487681.0
2005-03-11,1.37,1.37,1.38,1.36,16203501.0,22164102.0
2005-03-14,1.37,1.36,1.38,1.35,16502120.0,22469620.0
2005-03-15,1.37,1.34,1.38,1.33,19359874.0,26068269.0
2005-03-16,1.34,1.33,1.34,1.32,14301980.0,19019884.0
2005-03-17,1.33,1.34,1.35,1.33,12845389.0,17202351.0
2005-03-18,1.34,1.33,1.35,1.32,14347072.0,19121018.0
2005-03-21,1.33,1.33,1.34,1.32,8225858.0,10936012.0
2005-03-22,1.34,1.24,1.34,1.23,23395742.0,29748205.0
2005-03-23,1.24,1.2,1.25,1.2,26655944.0,32514008.0
2005-03-24,1.2,1.21,1.22,1.19,23729109.0,28537971.0
2005-03-25,1.21,1.21,1.22,1.2,11388638.0,13743520.0
2005-03-28,1.2,1.19,1.21,1.17,12265050.0,14545215.0
2005-03-29,1.19,1.19,1.2,1.18,8600179.0,10245726.0
2005-03-30,1.19,1.14,1.19,1.13,18916333.0,21780402.0
2005-03-31,1.14,1.17,1.17,1.13,15229493.0,17553914.0
2005-04-01,1.16,1.25,1.28,1.15,31297280.0,38229996.0
2005-04-04,1.24,1.21,1.25,1.2,23988968.0,29392985.0
2005-04-05,1.21,1.23,1.26,1.21,20152313.0,24840491.0
2005-04-06,1.23,1.26,1.27,1.21,23614584.0,29248053.0
2005-04-07,1.28,1.38,1.38,1.28,111887560.0,152371698.0
2005-04-08,1.41,1.52,1.52,1.38,222136300.0,320033427.0
2005-04-11,1.52,1.55,1.65,1.48,248894223.0,390768305.0
2005-04-12,1.54,1.49,1.55,1.48,130176621.0,196698219.0
2005-04-13,1.5,1.54,1.6,1.5,183411994.0,284353272.0
2005-04-14,1.53,1.48,1.54,1.46,90836428.0,135473534.0
2005-04-15,1.45,1.48,1.52,1.43,82224177.0,121206909.0
2005-04-18,1.47,1.44,1.47,1.42,45571585.0,65648150.0
2005-04-19,1.44,1.51,1.52,1.43,85807331.0,127516858.0
2005-04-20,1.48,1.48,1.51,1.44,59034547.0,87204359.0
2005-04-21,1.48,1.48,1.48,1.48,0.0,0.0
2005-04-22,1.38,1.34,1.43,1.34,111313060.0,152338280.0
2005-04-25,1.3,1.3,1.31,1.21,73455422.0,92417042.0
2005-04-26,1.29,1.35,1.37,1.28,64730968.0,85802178.0
2005-04-27,1.35,1.28,1.35,1.27,49058908.0,63958179.0
2005-04-28,1.28,1.32,1.35,1.23,59261627.0,77119703.0
2005-04-29,1.32,1.39,1.45,1.3,105568625.0,146846534.0
2005-05-09,1.39,1.36,1.4,1.34,43313061.0,59428487.0
2005-05-10,1.36,1.41,1.42,1.34,48440179.0,67332306.0
2005-05-11,1.41,1.39,1.43,1.37,47749523.0,66813691.0
2005-05-12,1.38,1.39,1.42,1.37,35474893.0,49387037.0
2005-05-13,1.39,1.35,1.4,1.32,49810647.0,67292190.0
2005-05-16,1.35,1.32,1.35,1.29,24333826.0,32003585.0
2005-05-17,1.32,1.36,1.38,1.3,27230324.0,36815800.0
2005-05-18,1.36,1.37,1.39,1.35,23254707.0,31843283.0
2005-05-19,1.37,1.39,1.4,1.35,32614248.0,45054190.0
2005-05-20,1.39,1.39,1.42,1.37,44149368.0,61928409.0
2005-05-23,1.37,1.33,1.38,1.33,36923227.0,49957549.0
2005-05-24,1.33,1.38,1.39,1.32,31247886.0,42826925.0
2005-05-25,1.38,1.38,1.41,1.37,24693989.0,34222409.0
2005-05-26,1.38,1.37,1.39,1.37,19520930.0,26903132.0
2005-05-27,1.37,1.38,1.41,1.37,24270331.0,33668510.0
2005-05-30,1.37,1.37,1.38,1.32,25935026.0,35028504.0
2005-05-31,1.37,1.35,1.38,1.33,26806277.0,36305938.0
2005-06-01,1.35,1.33,1.35,1.33,17242738.0,23047623.0
2005-06-02,1.33,1.29,1.35,1.28,35192628.0,45884840.0
2005-06-03,1.29,1.3,1.34,1.28,29689066.0,38920534.0
2005-06-06,1.3,1.33,1.33,1.28,22169145.0,29060143.0
2005-06-07,1.34,1.33,1.37,1.32,31123888.0,41759293.0
2005-06-08,1.33,1.45,1.46,1.33,98349423.0,138782547.0
2005-06-09,1.45,1.45,1.49,1.43,95040506.0,138010351.0
2005-06-10,1.44,1.47,1.55,1.43,114866690.0,171604813.0
2005-06-13,1.47,1.45,1.5,1.43,61496368.0,89578752.0
2005-06-14,1.45,1.43,1.5,1.43,46304036.0,67648831.0
2005-06-15,1.42,1.39,1.44,1.39,32452513.0,45629289.0
2005-06-16,1.39,1.43,1.44,1.39,29915334.0,42332446.0
2005-06-17,1.43,1.43,1.43,1.43,0.0,0.0
2005-06-20,1.42,1.43,1.45,1.36,68137526.0,96519912.0
2005-06-21,1.44,1.43,1.46,1.41,42399949.0,61052706.0
2005-06-22,1.44,1.45,1.46,1.43,39170433.0,56644392.0
2005-06-23,1.45,1.39,1.46,1.38,51360102.0,72681123.0
2005-06-24,1.39,1.41,1.41,1.38,23574206.0,32967766.0
2005-06-27,1.43,1.44,1.45,1.42,50350471.0,72527186.0
2005-06-28,1.43,1.4,1.43,1.39,32165685.0,45167274.0
2005-06-29,1.41,1.39,1.41,1.39,14156272.0,19801236.0
2005-06-30,1.39,1.33,1.39,1.32,49620522.0,66944070.0
2005-07-01,1.32,1.3,1.33,1.28,34017378.0,44347470.0
2005-07-04,1.29,1.31,1.31,1.27,24881397.0,31891346.0
2005-07-05,1.3,1.29,1.31,1.28,12308967.0,15924866.0
2005-07-06,1.29,1.27,1.3,1.26,18814412.0,24070201.0
2005-07-07,1.26,1.27,1.28,1.26,12138483.0,15400993.0
2005-07-08,1.27,1.22,1.27,1.22,30233460.0,37220064.0
2005-07-11,1.23,1.23,1.27,1.22,19733360.0,24514712.0
2005-07-12,1.23,1.3,1.32,1.21,36147517.0,46324747.0
2005-07-13,1.3,1.28,1.3,1.28,18800427.0,24175368.0
2005-07-14,1.28,1.29,1.3,1.28,15215021.0,19648386.0
2005-07-15,1.28,1.27,1.3,1.25,14231760.0,18141572.0
2005-07-18,1.27,1.26,1.28,1.24,19823016.0,24948194.0
2005-07-19,1.26,1.28,1.3,1.24,22988209.0,29200091.0
2005-07-20,1.28,1.3,1.3,1.27,24893108.0,32182962.0
2005-07-21,1.3,1.29,1.3,1.28,11657035.0,14990914.0
2005-07-22,1.3,1.33,1.35,1.3,56361006.0,75059452.0
2005-07-25,1.33,1.33,1.35,1.31,24481174.0,32591555.0
2005-07-26,1.33,1.35,1.37,1.32,38436562.0,51893036.0
2005-07-27,1.35,1.36,1.36,1.33,32561489.0,43727084.0
2005-07-28,1.36,1.35,1.38,1.34,42545250.0,57827642.0
2005-07-29,1.34,1.33,1.35,1.32,27019453.0,35946544.0
2005-08-01,1.32,1.33,1.34,1.3,23825021.0,31453232.0
2005-08-02,1.33,1.35,1.35,1.31,28007222.0,37227921.0
2005-08-03,1.35,1.37,1.42,1.35,69447881.0,96121490.0
2005-08-04,1.36,1.35,1.38,1.35,30588569.0,41579880.0
2005-08-05,1.35,1.39,1.4,1.35,66660401.0,92365302.0
2005-08-08,1.4,1.4,1.41,1.38,43364529.0,60519928.0
2005-08-09,1.4,1.4,1.41,1.38,37782615.0,52556261.0
2005-08-10,1.41,1.41,1.43,1.39,51602593.0,72491366.0
2005-08-11,1.41,1.45,1.45,1.4,100674678.0,144217047.0
2005-08-12,1.45,1.39,1.45,1.39,75320412.0,106591929.0
2005-08-15,1.39,1.41,1.42,1.38,43644887.0,60947049.0
2005-08-16,1.41,1.38,1.42,1.37,49547764.0,68620082.0
2005-08-17,1.38,1.39,1.39,1.34,46699813.0,63761681.0
2005-08-18,1.39,1.35,1.41,1.34,60153329.0,82577591.0
2005-08-19,1.35,1.34,1.37,1.32,34939302.0,46883461.0
2005-08-22,1.34,1.35,1.36,1.33,20815745.0,28052128.0
2005-08-23,1.35,1.34,1.35,1.31,29546092.0,39431027.0
2005-08-24,1.34,1.35,1.36,1.34,22186553.0,29951553.0
2005-08-25,1.35,1.35,1.36,1.33,19292661.0,25921650.0
2005-08-26,1.34,1.38,1.39,1.34,44311138.0,60867164.0
2005-08-29,1.38,1.36,1.4,1.35,34330156.0,47182213.0
2005-08-30,1.38,1.37,1.39,1.36,39499792.0,54477347.0
2005-08-31,1.37,1.39,1.4,1.36,45088252.0,62215125.0
2005-09-01,1.4,1.41,1.42,1.38,68298663.0,95897501.0
2005-09-02,1.42,1.4,1.44,1.4,59305289.0,83999295.0
2005-09-05,1.4,1.41,1.41,1.39,34842059.0,48765982.0
2005-09-06,1.42,1.38,1.42,1.37,40426952.0,56411996.0
2005-09-07,1.37,1.39,1.39,1.36,37638507.0,51833633.0
2005-09-08,1.39,1.41,1.43,1.38,80405619.0,113567540.0
2005-09-09,1.41,1.4,1.44,1.39,44285804.0,62725717.0
2005-09-12,1.4,1.4,1.41,1.38,22149861.0,30873740.0
2005-09-13,1.4,1.42,1.42,1.38,36693675.0,51399302.0
2005-09-14,1.41,1.43,1.43,1.41,60061496.0,85405431.0
2005-09-15,1.43,1.41,1.43,1.4,36964329.0,52137575.0
2005-09-16,1.41,1.41,1.43,1.4,32534672.0,45986923.0
2005-09-19,1.41,1.41,1.41,1.39,31059235.0,43485943.0
2005-09-20,1.4,1.37,1.4,1.37,47209284.0,65257978.0
2005-09-21,1.37,1.35,1.38,1.35,37354775.0,50898029.0
2005-09-22,1.35,1.32,1.35,1.3,41951591.0,55674714.0
2005-09-23,1.32,1.31,1.33,1.3,21049523.0,27713331.0
2005-09-26,1.31,1.33,1.33,1.3,18319627.0,24081487.0
2005-09-27,1.34,1.29,1.34,1.29,22480302.0,29231815.0
2005-09-28,1.29,1.29,1.29,1.29,0.0,0.0
2005-09-29,1.29,1.29,1.29,1.29,0.0,0.0
2005-09-30,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-10,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-11,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-12,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-13,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-14,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-17,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-18,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-19,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-20,1.29,1.29,1.29,1.29,0.0,0.0
2005-10-21,1.41,1.42,1.42,1.35,79112899.0,111927934.0
2005-10-24,1.47,1.4,1.47,1.39,169192093.0,241903586.0
2005-10-25,1.39,1.36,1.41,1.35,78000444.0,106832137.0
2005-10-26,1.37,1.32,1.38,1.31,60199908.0,80724260.0
2005-10-27,1.32,1.3,1.33,1.29,44741391.0,58863839.0
2005-10-28,1.3,1.25,1.31,1.23,45629715.0,58016412.0
2005-10-31,1.25,1.28,1.29,1.25,40637233.0,51856154.0
2005-11-01,1.27,1.28,1.28,1.25,19981722.0,25340329.0
2005-11-02,1.27,1.29,1.3,1.27,19832381.0,25518060.0
2005-11-03,1.29,1.27,1.29,1.26,19146461.0,24301799.0
2005-11-04,1.26,1.28,1.28,1.25,13972621.0,17654136.0
2005-11-07,1.28,1.28,1.28,1.26,13955718.0,17758073.0
2005-11-08,1.28,1.29,1.29,1.26,14652187.0,18778329.0
2005-11-09,1.29,1.28,1.29,1.27,11980912.0,15312464.0
2005-11-10,1.28,1.24,1.28,1.24,19521770.0,24437883.0
2005-11-11,1.24,1.24,1.25,1.23,11723587.0,14597961.0
2005-11-14,1.24,1.25,1.27,1.24,7500440.0,9389450.0
2005-11-15,1.26,1.26,1.27,1.25,12451051.0,15686218.0
2005-11-16,1.25,1.27,1.27,1.25,10519523.0,13207854.0
2005-11-17,1.27,1.27,1.28,1.26,15099843.0,19175942.0
2005-11-18,1.28,1.29,1.3,1.26,33777809.0,43453648.0
2005-11-21,1.29,1.28,1.29,1.28,15397591.0,19781882.0
2005-11-22,1.28,1.25,1.28,1.25,13358717.0,16881701.0
2005-11-23,1.25,1.27,1.27,1.24,10367957.0,13092401.0
2005-11-24,1.27,1.28,1.29,1.25,15685361.0,20055166.0
2005-11-25,1.28,1.32,1.32,1.27,61486234.0,80344038.0
2005-11-28,1.32,1.3,1.32,1.29,20805375.0,27068346.0
2005-11-29,1.29,1.29,1.31,1.29,14144865.0,18330401.0
2005-11-30,1.29,1.31,1.31,1.28,16302048.0,21214085.0
2005-12-01,1.31,1.3,1.31,1.29,11792864.0,15323981.0
2005-12-02,1.3,1.3,1.31,1.29,19318728.0,25178664.0
2005-12-05,1.3,1.26,1.3,1.26,19945982.0,25507541.0
2005-12-06,1.25,1.29,1.31,1.25,22253614.0,28708748.0
2005-12-07,1.29,1.3,1.3,1.28,18257463.0,23680627.0
2005-12-08,1.3,1.3,1.32,1.29,15649089.0,20417876.0
2005-12-09,1.3,1.32,1.32,1.29,33389244.0,43866337.0
2005-12-12,1.32,1.32,1.34,1.31,28779586.0,38175548.0
2005-12-13,1.32,1.32,1.32,1.3,16437784.0,21586533.0
2005-12-14,1.32,1.36,1.38,1.31,64699008.0,87156673.0
2005-12-15,1.36,1.34,1.37,1.34,58407842.0,78839111.0
2005-12-16,1.34,1.35,1.35,1.33,25426546.0,34144708.0
2005-12-19,1.35,1.34,1.35,1.33,18322192.0,24564084.0
2005-12-20,1.34,1.36,1.37,1.34,41917585.0,56894510.0
2005-12-21,1.36,1.36,1.39,1.35,50177771.0,68925355.0
2005-12-22,1.35,1.36,1.36,1.35,21674535.0,29346607.0
2005-12-23,1.36,1.37,1.38,1.36,32657410.0,44653239.0
2005-12-26,1.38,1.39,1.4,1.37,70920776.0,98606082.0
2005-12-27,1.39,1.39,1.39,1.38,24991526.0,34568292.0
2005-12-28,1.39,1.38,1.39,1.37,21762833.0,29975438.0
2005-12-29,1.38,1.39,1.4,1.37,35564880.0,49418040.0
2005-12-30,1.39,1.37,1.4,1.37,25195123.0,34766193.0
2006-01-04,1.37,1.41,1.42,1.37,69009626.0,96989007.0
2006-01-05,1.41,1.41,1.42,1.4,68743857.0,96812528.0
2006-01-06,1.43,1.43,1.45,1.42,106636713.0,153652213.0
2006-01-09,1.43,1.43,1.44,1.42,49247505.0,70422238.0
2006-01-10,1.42,1.41,1.42,1.38,95736162.0,133992626.0
2006-01-11,1.41,1.39,1.42,1.39,43560463.0,60874419.0
2006-01-12,1.39,1.41,1.41,1.39,30027786.0,41928720.0
2006-01-13,1.4,1.39,1.42,1.38,35729685.0,49797333.0
2006-01-16,1.38,1.36,1.38,1.36,43654913.0,59761385.0
2006-01-17,1.36,1.37,1.38,1.35,24372712.0,33457474.0
2006-01-18,1.37,1.39,1.4,1.37,29987908.0,41664882.0
2006-01-19,1.39,1.41,1.41,1.38,35561820.0,49647188.0
2006-01-20,1.41,1.39,1.42,1.38,27832016.0,38794295.0
2006-01-23,1.39,1.38,1.4,1.37,31622002.0,43698189.0
2006-01-24,1.38,1.4,1.4,1.37,37415380.0,51929167.0
2006-01-25,1.4,1.42,1.42,1.39,51650214.0,72851116.0
2006-02-06,1.42,1.43,1.45,1.41,47822308.0,68383372.0
2006-02-07,1.43,1.41,1.43,1.39,54039022.0,76012322.0
2006-02-08,1.4,1.41,1.41,1.38,34197258.0,47678718.0
2006-02-09,1.41,1.39,1.41,1.38,32518591.0,45127694.0
2006-02-10,1.39,1.39,1.4,1.38,26580077.0,36875399.0
2006-02-13,1.39,1.39,1.4,1.38,24299516.0,33694048.0
2006-02-14,1.39,1.39,1.41,1.38,24206379.0,33789402.0
2006-02-15,1.4,1.41,1.44,1.4,67864719.0,96683808.0
2006-02-16,1.41,1.38,1.41,1.38,42134188.0,58602034.0
2006-02-17,1.38,1.4,1.41,1.37,38455926.0,53456823.0
2006-02-20,1.4,1.41,1.43,1.38,49881761.0,70511244.0
2006-02-21,1.41,1.52,1.53,1.4,200507339.0,296836103.0
2006-02-22,1.52,1.52,1.53,1.49,163609062.0,248056240.0
2006-02-23,1.52,1.57,1.58,1.52,207702838.0,323757106.0
2006-02-24,1.57,1.57,1.58,1.54,118618505.0,185345905.0
2006-02-27,1.58,1.53,1.59,1.52,102025402.0,157473746.0
2006-02-28,1.52,1.53,1.54,1.48,81433252.0,123162477.0
2006-03-01,1.53,1.52,1.54,1.51,63680699.0,96867699.0
2006-03-02,1.52,1.47,1.52,1.45,93323373.0,138277794.0
2006-03-03,1.46,1.46,1.48,1.44,69207405.0,100863133.0
2006-03-06,1.46,1.47,1.49,1.45,40525223.0,59617545.0
2006-03-07,1.47,1.41,1.47,1.41,51429406.0,73589282.0
2006-03-08,1.41,1.43,1.44,1.4,39111446.0,55516964.0
2006-03-09,1.43,1.4,1.43,1.39,43259645.0,60652953.0
2006-03-10,1.39,1.38,1.41,1.38,47163621.0,65528285.0
2006-03-13,1.39,1.4,1.41,1.38,38802970.0,54041056.0
2006-03-14,1.4,1.39,1.4,1.38,33213850.0,46088059.0
2006-03-15,1.39,1.41,1.41,1.39,26764733.0,37442960.0
2006-03-16,1.41,1.41,1.43,1.4,34189265.0,48290274.0
2006-03-17,1.41,1.39,1.41,1.39,26574983.0,37054921.0
2006-03-20,1.39,1.41,1.41,1.38,30122965.0,42004177.0
2006-03-21,1.41,1.42,1.44,1.39,72685296.0,103448861.0
2006-03-22,1.42,1.42,1.43,1.41,32652892.0,46371830.0
2006-03-23,1.42,1.43,1.44,1.42,41267682.0,59044927.0
2006-03-24,1.43,1.41,1.44,1.41,32018829.0,45433050.0
2006-03-27,1.41,1.42,1.42,1.39,39662613.0,55648503.0
2006-03-28,1.42,1.43,1.43,1.41,41084621.0,58630460.0
2006-03-29,1.43,1.45,1.47,1.43,85070944.0,123464524.0
2006-03-30,1.45,1.43,1.46,1.41,57723772.0,82853546.0
2006-03-31,1.41,1.43,1.45,1.4,46310845.0,65720499.0
2006-04-03,1.41,1.43,1.45,1.41,56288177.0,80419640.0
2006-04-04,1.43,1.47,1.48,1.43,89916542.0,131220018.0
2006-04-05,1.47,1.48,1.49,1.46,86055764.0,127274685.0
2006-04-06,1.48,1.46,1.5,1.45,79551856.0,116712610.0
2006-04-07,1.46,1.45,1.47,1.43,53451534.0,77509179.0
2006-04-10,1.45,1.51,1.51,1.45,89535389.0,133943983.0
2006-04-11,1.51,1.55,1.57,1.49,139459378.0,213419304.0
2006-04-12,1.55,1.51,1.55,1.5,71587666.0,109360605.0
2006-04-13,1.5,1.48,1.53,1.48,68348464.0,102462716.0
2006-04-14,1.48,1.53,1.54,1.47,62663928.0,94447255.0
2006-04-17,1.53,1.53,1.55,1.51,59614488.0,91209827.0
2006-04-18,1.53,1.51,1.54,1.5,48840947.0,73985970.0
2006-04-19,1.51,1.54,1.56,1.49,98908352.0,151203964.0
2006-04-20,1.54,1.52,1.56,1.51,62464093.0,95454391.0
2006-04-21,1.52,1.53,1.54,1.5,78099032.0,119113823.0
2006-04-24,1.52,1.46,1.54,1.45,106191309.0,158330202.0
2006-04-25,1.45,1.43,1.45,1.41,76226875.0,109468957.0
2006-04-26,1.44,1.57,1.57,1.44,102075382.0,158274098.0
2006-04-27,1.63,1.65,1.69,1.6,383594697.0,630296662.0
